name,reviews_count,fuelType,engine_displacement,no_cylinder,seats,transmission_type,fuel_tank_capacity,typeId,rating,minPrice,maxPrice,max_torque_nm,max_torque_rpm,max_power_bhp,max_power_rp,imageUrl,brandId,year,country
MG Gloster,74,Diesel,1996,4,7.0,Automatic,75.0,SUV,4.5,35000,43889,480.0,2400,215.01,4000,https://imgd-ct.aeplcdn.com/664x415/n/u0hepdb_1746159.jpg?q=80,MG,2022,UK
MG Hector,200,Diesel,1956,4,5.0,Manual,60.0,SUV,4.0,15722,22344,350.0,2500,167.68,3750,https://images.91wheels.com/assets/b_images/main/models/profile/profile1701839792.jpg?width=420&q=60?w=420&q=60,MG,2023,UK
MG Hector Plus,2,Diesel,1956,4,7.0,Manual,60.0,SUV,4.5,17944,23056,350.0,2500,167.67,3750,https://imgd.aeplcdn.com/1200x900/n/cw/ec/139315/hector-plus-exterior-right-front-three-quarter-2.jpeg?isig=0&q=80,MG,2023,UK
MG ZS EV,14,Electric,0,0,5.0,Electric,0.0,SUV,4.5,24444,28756,280.0,0,173.83,0,https://luniverselle.be/wp-content/uploads/2022/06/Diamond_Red-1024x649.jpg,MG,2023,UK
Mahindra Alturas G4,122,Diesel,2157,4,7.0,Automatic,70.0,SUV,4.5,35422,35422,420.0,2600,178.49,3800,https://imgd.aeplcdn.com/664x374/n/cw/ec/33266/alturas-g4-exterior-right-front-three-quarter-2.jpeg?q=80,Mahindra,2022,India
Mahindra Bolero,107,Diesel,1498,3,7.0,Manual,60.0,SUV,4.5,10367,11400,210.0,2200,74.96,3600,https://imgd.aeplcdn.com/1056x594/n/1rfnjva_1604317.jpg?q=80,Mahindra,2023,India
Mahindra Bolero Camper,88,Diesel,2523,4,5.0,Manual,57.0,Pickup Truck,4.5,33322,39433,200.0,2200,75.09,3200,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-_WbCf9xir5gee99Za1f1OVQU3BrITbW2LFovMNcnJqEvh2zvmICRZnYFt2O-pWNLams&usqp=CAU,Mahindra,2023,India
Mahindra Bolero Neo,97,Diesel,1493,3,7.0,Manual,50.0,SUV,4.5,10033,13033,260.0,2250,100.0,3750,https://stimg.cardekho.com/images/carexteriorimages/930x620/Mahindra/Bolero-Neo/10766/1740039860326/front-left-side-47.jpg,Mahindra,2022,India
Mahindra Bolero PikUp ExtraLong,5,Diesel,2523,4,2.0,Manual,60.0,Pickup Truck,4.5,258889,258889,200.0,2200,75.09,3200,https://images.jdmagicbox.com/quickquotes/images_main/mahindra-bolero-pik-up-extra-long-fb-1-7t-bs6-white-271052458-hiblp.png,Mahindra,2022,India
Mahindra E Verito,14,Electric,0,0,5.0,Electric,0.0,Sedan,4.0,10144,10511,91.0,3000,41.57,3500,https://stimg.cardekho.com/images/carexteriorimages/930x620/Mahindra/E-Verito/3526/1603712637421/front-left-side-47.jpg,Mahindra,2024,India
Mahindra KUV 100 NXT,226,Petrol,1198,3,6.0,Manual,35.0,Hatchback,4.5,6867,8711,115.0,3600,82.0,5500,https://www.leguideauto.ma/contents/cars/pictures/2021/12/large/jwRQR21d19oT4Fykn2l4qr7IAI6NS3iufbXqtJDO.webp,Mahindra,2024,India
Mahindra Marazzo,321,Diesel,1497,4,8.0,Manual,45.0,MUV,4.5,14633,17156,300.0,2500,120.96,3500,https://imgd-ct.aeplcdn.com/664x415/n/cw/ec/49114/marazzo-exterior-right-front-three-quarter-5.jpeg?isig=0&q=80,Mahindra,2023,India
